qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
8485,1036,846,1,4,8,117577,117166,117084
8486,1036,844,6,16,9,117256,116953,117087
8487,1036,842,213,10,10,117356,116800,117136
8498,1037,1,131,44,1,142323,142014,141252
8499,1037,822,131,77,2,142534,142126,141763
8500,1037,830,9,33,3,143197,142473,141778
8501,1037,817,4,3,4,143309,142487,142061
8502,1037,848,9,23,5,143418,142193,142264
8503,1037,839,4,31,6,143505,142534,142396
8504,1037,832,1,55,7,143322,142478,142438
8505,1037,815,211,11,8,143349,142670,142532
8506,1037,840,211,18,9,143265,142491,142603
8507,1037,846,1,4,10,143514,142722,142657
8518,1038,1,131,44,1,119514,119092,118887
8519,1038,822,131,77,2,119786,118952,118956
8520,1038,832,1,55,3,120099,119705,119695
8521,1038,815,211,11,4,120048,119718,119720
8522,1038,830,9,33,5,120193,119780,119795
8523,1038,846,1,4,6,120344,119962,119820
8524,1038,817,4,3,7,120548,120031,119864
8525,1038,840,211,18,8,120400,119924,120049
8526,1038,848,9,23,9,121104,120064,120090
8527,1038,842,213,10,10,120145,119909,120177
8538,1039,1,131,44,1,115778,115309,115144
8539,1039,822,131,77,2,115749,115322,115203
8540,1039,830,9,33,3,116335,115471,115509
8541,1039,848,9,23,4,116527,115914,115954
8542,1039,844,6,16,5,116698,116324,116270
8543,1039,815,211,11,6,116596,116489,116311
8544,1039,840,211,18,7,116701,116271,116356
8545,1039,817,4,3,8,116981,116243,116543
8546,1039,832,1,55,9,116993,116522,117870
8558,1040,1,131,44,1,132983,132835,131304
8559,1040,830,9,33,2,133630,133157,131867
8560,1040,822,131,77,3,132656,132405,131956
8561,1040,815,211,11,4,133704,133038,132317
8562,1040,817,4,3,5,133650,132218,132364
8563,1040,832,1,55,6,133967,132757,132550
8564,1040,839,4,31,7,133557,133196,132624
8565,1040,846,1,4,8,133804,133081,132847
8566,1040,842,213,10,9,133734,133139,133000
8567,1040,848,9,23,10,133919,133153,133008
8578,1041,822,131,77,1,126573,125971,125269
8579,1041,1,131,44,2,126620,125390,125525
8580,1041,830,9,33,3,126319,125467,125562
8581,1041,844,6,16,4,126857,126240,126035
8582,1041,848,9,23,5,127126,126285,126047
8583,1041,817,4,3,6,126836,126096,126223
8584,1041,839,4,31,7,127086,126364,126242
8585,1041,846,1,4,8,126829,126316,126458
8586,1041,815,211,11,9,127120,126330,126704
8587,1041,832,1,55,10,127378,126361,126709
8623,1042,842,213,10,9,117209,117367,117803
8622,1042,846,1,4,8,117547,117321,117525
8621,1042,832,1,55,7,117627,117183,117520
8620,1042,848,9,23,6,117435,117411,117437
8619,1042,815,211,11,5,117370,117129,117223
8618,1042,844,6,16,4,117421,117367,117090
8617,1042,830,9,33,3,116879,117038,116904
8616,1042,822,131,77,2,116945,116466,116754
8615,1042,1,131,44,1,116828,116824,116652
8635,1043,822,131,33,1,114221,114585,113609
8636,1043,1,131,44,2,114229,114643,113706
8637,1043,830,9,33,3,115034,114974,114176
8638,1043,842,213,10,4,115183,114681,114502
8639,1043,817,4,3,5,115474,114953,114520
8640,1043,848,9,23,6,115402,114745,114572
8641,1043,844,6,16,7,115123,115017,114616
8642,1043,826,213,26,8,115412,115022,114696
8675,1045,1,131,44,1,128343,127586,127264
8676,1045,822,131,77,2,128767,128063,127553
8677,1045,830,9,33,3,128885,128025,127678
8678,1045,848,9,23,4,128732,128749,128274
8679,1045,815,211,11,5,129178,128894,128322
8680,1045,817,4,3,6,129005,128648,128417
8681,1045,839,4,31,7,129203,128937,128419
8682,1045,842,213,10,8,128971,129008,128448
8715,1047,830,9,33,1,135993,135641,135246
8716,1047,822,131,77,2,135699,135527,135271
8717,1047,1,131,44,3,135528,135466,135332
8718,1047,846,1,4,4,136016,135849,135497
8719,1047,848,9,23,5,136106,135654,135571
8720,1047,832,1,55,6,136517,136192,135815
8721,1047,826,213,26,7,136459,136214,135963
8722,1047,840,211,18,8,136502,136143,136046
8723,1047,844,6,16,9,135881,135932,136065
8724,1047,842,213,10,10,136545,136282,136242
8735,1052,830,9,33,1,130499,130318,128997
8736,1052,1,131,44,2,130617,130085,129385
8737,1052,822,131,77,3,131200,130186,129586
8738,1052,844,6,16,4,130691,130010,129678
8739,1052,842,213,10,5,130848,130513,129809
8740,1052,817,1,3,6,130795,130222,129927
8741,1052,846,1,4,7,130902,130099,129974
8742,1052,832,6,55,8,131653,130009,130215
8743,1052,4,214,14,9,130863,130595,130249
8744,1052,840,117,18,10,131261,130624,130601
8755,1053,1,131,44,1,114823,114817,114411
8756,1053,815,9,11,2,115395,114716,114446
8757,1053,830,9,33,3,115109,114884,114498
8758,1053,844,6,16,4,115413,114808,114740
8759,1053,842,213,10,5,115548,114927,114790
8760,1053,817,1,3,6,115669,115033,114826
8761,1053,846,1,4,7,115009,114718,114875
8762,1053,822,131,77,8,114672,114905,114898
8763,1053,839,214,31,9,115385,115117,115210
8775,1054,822,131,77,1,118722,118458,118348
8776,1054,1,131,44,2,118857,117968,118355
8777,1054,830,9,33,3,119485,118650,118746
8778,1054,815,9,11,4,119337,118845,118890
8779,1054,832,6,55,5,119309,118813,119039
8780,1054,839,214,31,6,119092,118586,119042
8781,1054,846,1,4,7,118794,118481,119116
8782,1054,844,6,16,8,119373,118769,119306
8783,1054,842,213,10,9,119464,119052,119475
8784,1054,20,117,5,10,119403,118970,119659
8795,1055,1,131,44,1,118245,117166,116741
8796,1055,830,9,33,2,118090,116922,116777
8797,1055,822,131,77,3,118005,117142,116873
8798,1055,844,6,16,4,118041,117717,117510
8799,1055,839,214,31,5,118281,117743,117580
8800,1055,832,6,55,6,118205,117656,117620
8801,1055,817,1,3,7,118264,117719,117622
8802,1055,815,9,11,8,118203,117669,117701
8803,1055,846,1,4,9,117821,117696,118010
8804,1055,4,214,14,10,118281,117966,118147
8815,1056,844,6,16,1,111113,110597,110346
8816,1056,830,9,33,2,111124,110650,110576
8817,1056,822,131,77,3,110938,110695,110601
8818,1056,832,6,55,4,111324,110806,110611
8819,1056,846,1,4,5,111321,111031,110620
8820,1056,842,213,10,6,111560,111179,110900
8821,1056,1,131,44,7,111622,111116,111095
8822,1056,20,117,5,8,112078,111309,111419
8823,1056,815,9,11,9,111644,111019,111573
8824,1056,841,51,99,10,111658,111409,111779
8834,1057,844,6,16,1,142241,141659,141218
8835,1057,1,131,44,2,141545,141634,141450
8836,1057,830,9,33,3,141760,141625,141563
8837,1057,842,213,10,4,142288,141932,141565
8838,1057,832,6,55,5,142121,141740,141576
8839,1057,846,1,4,6,142167,141813,141747
8840,1057,815,9,11,7,141968,141630,141917
8841,1057,852,213,22,8,142521,141654,142211
8842,1057,4,214,14,9,142934,142195,142327
8843,1057,822,131,77,10,142701,142106,142659
8854,1059,830,9,33,1,131001,131080,129990
8855,1059,1,131,44,2,131237,130788,130248
8856,1059,822,131,77,3,131669,130735,130376
8857,1059,815,9,11,4,131560,130971,130445
8858,1059,832,6,55,5,132079,131146,130840
8859,1059,842,213,10,6,131898,131353,130868
8860,1059,844,6,16,7,132209,131567,130987
8861,1059,846,1,4,8,131733,131542,131252
8862,1059,4,214,14,9,132158,131549,131340
8863,1059,817,1,3,10,132181,131615,131382
8874,1058,830,9,33,1,104489,104433,103841
8875,1058,822,131,77,2,104537,104443,104035
8876,1058,1,131,44,3,104672,104512,104067
8877,1058,846,1,4,4,104584,104298,104120
8878,1058,815,9,11,5,104638,104197,104168
8879,1058,842,213,10,6,104765,104429,104236
8880,1058,844,6,16,7,104745,104646,104472
8881,1058,852,213,22,8,104608,104631,104514
8882,1058,4,214,14,9,104971,104582,104574
8883,1058,840,117,18,10,104821,104663,104708
8894,1060,830,9,33,1,104249,103927,103720
8895,1060,846,1,4,2,104345,104415,103768
8896,1060,815,9,11,3,104833,104483,103990
8897,1060,1,131,44,4,104506,104258,104014
8898,1060,822,131,77,5,104563,104376,104049
8899,1060,842,213,10,6,104841,104412,104107
8900,1060,852,213,22,7,104967,104518,104273
8901,1060,20,117,5,8,104846,104493,104570
8902,1060,847,3,63,9,104907,104553,104591
8903,1060,840,117,18,10,104927,104547,104618
8914,1061,1,131,44,1,126786,126023,126134
8915,1061,830,9,33,2,126751,126315,126209
8916,1061,822,131,77,3,127487,126764,126328
8917,1061,844,6,16,4,127051,126919,126828
8918,1061,815,9,11,5,127121,127073,126844
8919,1061,846,1,4,6,127444,127220,126897
8920,1061,817,1,3,7,127323,127125,126899
8921,1061,847,3,63,8,127671,127080,126971
8922,1061,832,6,55,9,127337,126848,127007
8923,1061,20,117,5,10,127493,127103,127179
8934,1062,1,131,44,1,116424,116553,115419
8935,1062,822,131,77,2,116569,116702,115734
8936,1062,830,9,33,3,116214,115650,115840
8937,1062,815,9,11,4,117233,116443,116421
8938,1062,842,213,10,5,116874,116394,116483
8939,1062,846,1,4,6,117081,116385,116489
8940,1062,844,6,16,7,117084,116574,116496
8941,1062,839,214,31,8,117367,116766,116653
8942,1062,4,214,14,9,117123,116541,116715
8943,1062,20,117,5,10,117105,116794,116750
8974,1064,830,9,33,1,110036,109071,108885
8975,1064,1,131,44,2,110114,109726,108923
8976,1064,822,131,77,3,110219,109769,109222
8977,1064,842,213,10,4,110274,109541,109478
8978,1064,844,6,16,5,109829,109437,109527
8979,1064,832,6,55,6,110022,109870,109537
8980,1064,841,51,99,7,110050,110033,109590
8981,1064,839,214,31,8,110179,109919,109933
8982,1064,4,214,14,9,110435,110020,109956
8983,1064,817,1,3,10,110255,109865,110166
8994,1065,822,131,77,1,120685,120032,119555
8995,1065,1,131,44,2,120543,119936,119651
8996,1065,830,9,33,3,121035,120229,119966
8997,1065,846,1,4,4,120916,120059,119989
8998,1065,817,1,3,5,121292,120435,119995
8999,1065,842,213,10,6,121440,120556,120260
9000,1065,832,6,55,7,121118,120750,120462
9001,1065,844,6,16,8,121219,120767,120510
9002,1065,815,9,11,9,121308,120882,120611
9003,1065,841,51,99,10,121197,120726,120808
9014,1066,846,1,4,1,147238,145827,141993
9015,1066,832,6,55,2,147924,146521,142510
9016,1066,847,3,63,3,148303,146435,142983
9017,1066,1,131,44,4,145992,145129,144050
9018,1066,817,1,3,5,148345,146361,144156
9019,1066,4,214,14,6,147877,145514,144204
9020,1066,822,131,77,7,146396,145306,144710
9021,1066,840,117,18,8,148322,146360,144956
9022,1066,815,9,11,9,146455,145834,145337
9023,1066,839,214,31,10,148099,146070,145865
9036,1067,1,131,44,1,124585,123082,122868
9037,1067,822,131,77,2,125047,123579,122998
9038,1067,830,9,33,3,124592,123732,123196
9039,1067,844,6,16,4,124869,124015,123265
9040,1067,842,213,10,5,124704,123817,123326
9041,1067,4,214,14,6,125174,123914,123477
9042,1067,815,9,11,7,124963,123961,123706
9043,1067,846,1,4,8,125138,124642,123954
9044,1067,840,117,18,9,125511,124601,124305
9045,1067,852,213,22,10,125409,124054,124368
9056,1069,830,9,33,1,134352,133464,132910
9057,1069,1,131,44,2,134579,133797,133119
9058,1069,815,9,11,3,134369,134178,133134
9059,1069,822,131,77,4,134590,133959,133475
9060,1069,844,6,16,5,134153,133928,133606
9061,1069,832,6,55,6,134558,134126,133792
9062,1069,817,1,3,7,134407,134643,133808
9063,1069,846,1,4,8,134551,133880,133887
9064,1069,842,213,10,9,134567,134583,134118
9065,1069,852,213,22,10,135360,135137,134918
9076,1070,822,131,77,1,116727,116864,115875
9077,1070,1,131,44,2,117207,116474,116020
9078,1070,830,9,33,3,116788,116483,116225
9079,1070,815,9,11,4,117003,117055,116342
9080,1070,842,213,10,5,116908,116955,116456
9081,1070,832,6,55,6,117517,117248,116761
9082,1070,817,1,3,7,117719,117092,116763
9083,1070,844,6,16,8,116748,117034,116837
9084,1070,852,213,22,9,117330,116701,117158
9085,1070,846,1,4,10,117569,117473,136830
9096,1071,1,131,44,1,108733,108068,107934
9097,1071,830,9,33,2,109329,108499,108372
9098,1071,822,131,77,3,109040,108426,108469
9099,1071,815,9,11,4,109172,108973,108483
9100,1071,842,213,10,5,109347,108903,108777
9101,1071,832,6,55,6,109046,109031,108826
9102,1071,844,6,16,7,109155,108859,108960
9103,1071,846,1,4,8,109365,109030,108980
9104,1071,817,1,3,9,109374,109093,109039
9105,1071,4,214,14,10,109391,109137,109113
9116,1051,1,131,44,1,121901,121682,120827
9117,1051,830,9,33,2,121996,121984,121282
9118,1051,822,131,77,3,122016,121991,121478
9119,1051,842,213,10,4,122535,121728,121640
9120,1051,4,214,14,5,122422,121894,121670
9121,1051,846,1,4,6,122839,122216,121731
9122,1051,832,6,55,7,122304,122241,121840
9123,1051,852,213,22,8,122458,122058,121881
9124,1051,839,214,31,9,122565,122012,122028
9125,1051,20,117,5,10,122549,122146,122785
9136,1072,1,131,44,1,128466,127712,127511
9137,1072,822,131,77,2,128057,128054,127622
9138,1072,830,9,33,3,128285,127953,127653
9139,1072,844,6,16,4,128310,128459,128054
9140,1072,815,9,11,5,128021,127946,128123
9141,1072,842,213,10,6,128401,128314,128125
9142,1072,846,1,4,7,128338,128344,128180
9143,1072,852,213,22,8,128503,128222,128442
9144,1072,839,214,31,9,128752,128574,128647
9145,1072,841,51,99,10,128899,128616,128754
9156,1073,830,9,33,1,123322,122800,122109
9157,1073,1,131,44,2,122845,123145,122480
9158,1073,846,1,4,3,123553,123256,122931
9159,1073,815,9,11,4,123350,123135,122947
9160,1073,832,6,55,5,123624,123174,122992
9161,1073,822,131,77,6,123117,123246,123036
9162,1073,844,6,16,7,123467,123202,123122
9163,1073,852,213,22,8,123428,123404,123220
9164,1073,839,214,31,9,123764,123420,123389
9165,1073,817,1,3,10,123829,123448,123409
9176,1074,844,6,16,1,131471,130932,130558
9177,1074,830,9,1,2,131785,130757,130681
9178,1074,832,6,55,3,131567,130787,130687
9179,1074,815,9,11,4,132311,131008,130921
9180,1074,1,131,44,5,132285,131048,131238
9181,1074,822,51,77,6,131919,131717,131560
9182,1074,825,210,20,7,131955,131461,131808
9183,1074,4,214,14,8,132346,131621,132195
9184,1074,847,131,63,9,132269,131252,132216
9185,1074,842,213,10,10,132096,131635,132338
9222,1075,825,210,20,10,129831,129546,129588
9221,1075,842,213,10,9,129891,129418,129254
9220,1075,822,51,77,8,129683,129404,129183
9219,1075,4,214,14,7,129978,129295,129147
9218,1075,847,131,63,6,129680,129618,129104
9217,1075,839,214,31,5,130093,129584,129068
9216,1075,830,9,1,4,128928,128945,128461
9215,1075,832,6,55,3,128855,128686,128402
9214,1075,844,6,16,2,129039,128780,128225
9213,1075,815,9,11,1,129705,128924,128200
9233,1076,844,6,16,1,118881,118606,117868
9234,1076,830,9,1,2,118580,118611,118154
9235,1076,815,9,11,3,118834,118340,118240
9236,1076,846,1,4,4,119280,119066,118703
9237,1076,1,131,44,5,119401,119106,118825
9238,1076,847,131,63,6,119405,119076,118933
9239,1076,817,1,3,7,119665,119130,119032
9240,1076,839,214,31,8,119605,119136,119061
9241,1076,832,6,55,9,118983,118469,119408